,id,name
79,110600,110600:HEALTH - HHC (Category)
80,110700,110700:TRANSPORT
81,1107000,1107000:TRANSPORT
82,110710,110710:PURCHASE OF VEHICLES
83,1107100,1107100:PURCHASE OF VEHICLES
84,110730,110730:TRANSPORT SERVICES
85,1107300,1107300:TRANSPORT SERVICES
86,110800,110800:COMMUNICATION
87,1108000,1108000:COMMUNICATION
88,111100,111100:RESTAURANTS AND HOTELS
89,1111000,1111000:RESTAURANTS AND HOTELS
90,111300,111300:BALANCE OF EXPENDITURES OF RESIDENTS ABROAD AND EXPENDITURES OF NON-RESIDENTS IN THE ECONOMIC TERRITORY
91,1113000,1113000:NET PURCHASES ABROAD
92,130000,130000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT
93,1300000,1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT
94,140000,140000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT
95,1400000,1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT
96,150000,150000:GROSS FIXED CAPITAL FORMATION
97,1500000,1500000:GROSS CAPITAL FORMATION
98,150100,150100:MACHINERY AND EQUIPMENT
99,1501000,1501000:GROSS FIXED CAPITAL FORMATION
100,1501100,1501100:MACHINERY AND EQUIPMENT
101,1501200,1501200:CONSTRUCTION
102,1501300,1501300:OTHER PRODUCTS
103,150200,150200:CONSTRUCTION
104,1502000,1502000:CHANGES IN INVENTORIES
105,150300,150300:OTHER PRODUCTS
106,1503000,1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category)
107,1600000,1600000:BALANCE OF EXPORTS AND IMPORTS
108,160100,160100:CHANGES IN INVENTORIES
109,160200,160200:ACQUISITIONS LESS DISPOSALS OF VALUABLES
110,170000,170000:BALANCE OF EXPORTS AND IMPORTS
111,2.0.cov.Cel,Coverage: Mobile Phone
112,2.0.cov.Ele,Coverage: Electricity
113,2.0.cov.FPS,Coverage: Finished Primary School
114,2.0.cov.Int,Coverage: Internet 
115,2.0.cov.Math.pl_2.all,Coverage: Mathematics Proficiency Level 2
116,2.0.cov.Math.pl_2.prv,"Coverage: Mathematics Proficiency Level 2, Private schools"
117,2.0.cov.Math.pl_2.pub,"Coverage: Mathematics Proficiency Level 2, Public schools"
118,2.0.cov.Math.pl_3.all,Coverage: Mathematics Proficiency Level 3
119,2.0.cov.Math.pl_3.prv,"Coverage: Mathematics Proficiency Level 3, Private schools"
120,2.0.cov.Math.pl_3.pub,"Coverage: Mathematics Proficiency Level 3, Public schools"
121,2.0.cov.Read.pl_2.all,Coverage: Reading Proficiency Level 2
122,2.0.cov.Read.pl_2.prv,"Coverage: Reading Proficiency Level 2, Private schools"
123,2.0.cov.Read.pl_2.pub,"Coverage: Reading Proficiency Level 2, Public schools"
124,2.0.cov.Read.pl_3.all,Coverage: Reading Proficiency Level 3
125,2.0.cov.Read.pl_3.prv,"Coverage: Reading Proficiency Level 3, Private schools"
126,2.0.cov.Read.pl_3.pub,"Coverage: Reading Proficiency Level 3, Public schools"
127,2.0.cov.San,Coverage: Sanitation
128,2.0.cov.Sch,Coverage: School Enrollment
129,2.0.cov.Scie.pl_2.all,Coverage: Science Proficiency Level 2
130,2.0.cov.Scie.pl_2.prv,"Coverage: Science Proficiency Level 2, Private schools"
131,2.0.cov.Scie.pl_2.pub,"Coverage: Science Proficiency Level 2, Public schools"
132,2.0.cov.Scie.pl_3.all,Coverage: Science Proficiency Level 3
133,2.0.cov.Scie.pl_3.prv,"Coverage: Science Proficiency Level 3, Private schools"
134,2.0.cov.Scie.pl_3.pub,"Coverage: Science Proficiency Level 3, Public schools"
135,2.0.cov.Wat,Coverage: Water
136,2.0.hoi.Cel,HOI: Mobile Phone
137,2.0.hoi.Ele,HOI: Electricity
138,2.0.hoi.FPS,HOI: Finished Primary School
139,2.0.hoi.Int,HOI: Internet 
140,2.0.hoi.Math.pl_2.all,HOI: Mathematics Proficiency Level 2
141,2.0.hoi.Math.pl_2.prv,"HOI: Mathematics Proficiency Level 2, Private schools"
142,2.0.hoi.Math.pl_2.pub,"HOI: Mathematics Proficiency Level 2, Public schools"
143,2.0.hoi.Math.pl_3.all,HOI: Mathematics Proficiency Level 3
144,2.0.hoi.Math.pl_3.prv,"HOI: Mathematics Proficiency Level 3, Private schools"
145,2.0.hoi.Math.pl_3.pub,"HOI: Mathematics Proficiency Level 3, Public schools"
146,2.0.hoi.Read.pl_2.all,HOI: Reading Proficiency Level 2
147,2.0.hoi.Read.pl_2.prv,"HOI: Reading Proficiency Level 2, Private schools"
148,2.0.hoi.Read.pl_2.pub,"HOI: Reading Proficiency Level 2, Public schools"
149,2.0.hoi.Read.pl_3.all,HOI: Reading Proficiency Level 3
150,2.0.hoi.Read.pl_3.prv,"HOI: Reading Proficiency Level 3, Private schools"
151,2.0.hoi.Read.pl_3.pub,"HOI: Reading Proficiency Level 3, Public schools"
152,2.0.hoi.San,HOI: Sanitation
153,2.0.hoi.Sch,HOI: School Enrollment
154,2.0.hoi.Scie.pl_2.all,HOI: Science Proficiency Level 2
155,2.0.hoi.Scie.pl_2.prv,"HOI: Science Proficiency Level 2, Private schools"
156,2.0.hoi.Scie.pl_2.pub,"HOI: Science Proficiency Level 2, Public schools"
157,2.0.hoi.Scie.pl_3.all,HOI: Science Proficiency Level 3
158,2.0.hoi.Scie.pl_3.prv,"HOI: Science Proficiency Level 3, Private schools"
159,2.0.hoi.Scie.pl_3.pub,"HOI: Science Proficiency Level 3, Public schools"
160,2.0.hoi.Wat,HOI: Water
161,2.1_ACCESS.CFT.TOT,Access to Clean Fuels and Technologies for cooking (% of total population)
162,2.1_PRE.PRIMARY.GER,"School enrolment, preprimary, national source (% gross)"
163,2.1_SHARE.TOTAL.RE.IN.TFEC,Renewable energy consumption(% in TFEC)
164,2.2_GIR,"Gross intake ratio in grade 1, total, national source (% of relevant age group)"
165,2.3_GIR.GPI,Gender parity index for gross intake ratio in grade 1
166,2.4_OOSC.RATE,"Rate of out of school children, national source (% of relevant age group) "
167,2.5_PCR,"Primary completion rate, total, national source (% of relevant age group)"
168,2.6_PCR.GPI,Gender parity index for primary completion rate 
169,2.7_PRI.SEC.TRANSITION.RATE,"Progression to secondary school, national source (%)"
170,2.8_LOW.SEC.COMPLETION.RATE,"Lower secondary completion rate, total, national source (% of relevant age group)"
171,3.0.Atkin.0.5,"Atkinson, A(.5)"
172,3.0.Atkin.1,"Atkinson, A(1)"
173,3.0.Atkin.2,"Atkinson, A(2)"
174,3.0.GenEnt-1,"Generalized Entrophy, GE(-1)"
175,3.0.GenEnt2,"Generalized Entrophy, GE(2)"
176,3.0.Gini,Gini Coefficient
177,3.0.Gini_nozero,Gini Coefficient (No Zero Income)
178,3.0.IncShr.q1,Income Share of First Quintile
179,3.0.IncShr.q2,Income Share of Second Quintile
180,3.0.IncShr.q3,Income Share of Third Quintile
181,3.0.IncShr.q4,Income Share of Fourth Quintile
182,3.0.IncShr.q5,Income Share of Fifth Quintile
183,3.0.MLongDev0,"Mean Log Deviation, GE(0)"
184,3.0.Rate75-25,Rate 75/25
185,3.0.Rate90-10,Rate 90/10
186,3.0.TheilInd1,"Theil Index, GE(1)"
187,3.1.Gini,"Gini, Rural"
188,3.1.MLongDev0,"Mean Log Deviation, GE(0), Rural"
189,3.1.TheilInd1,"Theil Index, GE(1), Rural"
190,3.1_LOW.SEC.NEW.TEACHERS,"Lower secondary education, new teachers, national source"
191,3.1_PRI.NEW.ENTRANTS,"Primary education, new entrants, national source"
192,3.1_RE.CONSUMPTION,Renewable energy consumption (TJ)
193,3.11_LOW.SEC.CLASSROOMS,"Lower secondary education, classrooms, national source"
194,3.12_LOW.SEC.NEW.CLASSROOMS,"Lower secondary education, new classrooms, national source"
195,3.13_PRI.MATH.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, mathematics"
196,3.14_PRI.LANGU.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, language"
197,3.15_LEARN.TIME.TEACHER.STUDY,Last study on effective learning time and teacher attendance (year)
198,3.2.Gini,"Gini, Urban"
199,3.2.MLongDev0,"Mean Log Deviation, GE(0),Urban"
200,3.2.TheilInd1,"Theil Index, GE(1),Urban"
201,3.2_PRI.STUDENTS,"Primary education, pupils, national source"
202,3.3_PRI.TEACHERS,"Primary education, teachers, national source"
203,3.4_PRI.NEW.TEACHERS,"Primary education, new teachers, national source"
204,3.5_PRI.CLASSROOMS,"Primary education, classrooms, national source"
205,3.6_PRI.NEW.CLASSROOMS,"Primary education, new classrooms, national source"
206,3.7_LOW.SEC.NEW.ENTRANTS,"Lower Secondary education, new entrants, national source"
207,3.8_LOW.SEC.STUDENTS,"Lower secondary education, pupils, national source"
208,3.9_LOW.SEC.TEACHERS,"Lower secondary education, teachers, national source"
209,4.0.nini.15a18,Youth: Neither in School Nor Working  (15-18)
210,4.0.nini.15a24,Youth: Neither in School Nor Working  (15-24)
211,4.0.nini.19a24,Youth: Neither in School Nor Working  (19-24)
212,4.0.stud.15a18,Youth: In School (15-18)
213,4.0.stud.15a24,Youth: In School (15-24)
214,4.0.stud.19a24,Youth: In School (19-24)
215,4.0.studwork.15a18,Youth: In School and Employed (15-18)
216,4.0.studwork.15a24,Youth: In School and Employed (15-24)
217,4.0.studwork.19a24,Youth: In School and Employed (19-24)
218,4.0.work.15a18,Youth: Employed (15-18)
219,4.0.work.15a24,Youth: Employed (15-24)
220,4.0.work.19a24,Youth: Employed (19-24)
221,4.1.1_TOTAL.ELECTRICITY.OUTPUT,Total electricity output (GWh)
222,4.1.2_REN.ELECTRICITY.OUTPUT,Renewable energy electricity output (GWh)
223,4.1.nini.15a18,"Youth: Neither in School Nor Working  (15-18), Male"
224,4.1.nini.15a24,"Youth: Neither in School Nor Working  (15-24), Male"
225,4.1.nini.19a24,"Youth: Neither in School Nor Working  (19-24), Male"
226,4.1.stud.15a18,"Youth: In School (15-18), Male"
227,4.1.stud.15a24,"Youth: In School (15-24), Male"
228,4.1.stud.19a24,"Youth: In School (19-24), Male"
229,4.1.studwork.15a18,"Youth: In School and Employed (15-18), Male"
230,4.1.studwork.15a24,"Youth: In School and Employed (15-24), Male"
231,4.1.studwork.19a24,"Youth: In School and Employed (19-24), Male"
232,4.1.work.15a18,"Youth: Employed (15-18), Male"
233,4.1.work.15a24,"Youth: Employed (15-24), Male"
234,4.1.work.19a24,"Youth: Employed (19-24), Male"
235,4.1_SHARE.RE.IN.ELECTRICITY,Renewable electricity (% in total electricity output)
236,4.1_TOTAL.EDU.SPENDING,Public spending on total education (% of total public spending)
237,4.2.nini.15a18,"Youth: Neither in School Nor Working  (15-18), Female"
238,4.2.nini.15a24,"Youth: Neither in School Nor Working  (15-24), Female"
239,4.2.nini.19a24,"Youth: Neither in School Nor Working  (19-24), Female"
240,4.2.stud.15a18,"Youth: In School (15-18), Female"
241,4.2.stud.15a24,"Youth: In School (15-24), Female"
242,4.2.stud.19a24,"Youth: In School (19-24), Female"
243,4.2.studwork.15a18,"Youth: In School and Employed (15-18), Female"
244,4.2.studwork.15a24,"Youth: In School and Employed (15-24), Female"
245,4.2.studwork.19a24,"Youth: In School and Employed (19-24), Female"
246,4.2.work.15a18,"Youth: Employed (15-18), Female"
247,4.2.work.15a24,"Youth: Employed (15-24), Female"
248,4.2.work.19a24,"Youth: Employed (19-24), Female"
249,4.2_BASIC.EDU.SPENDING,Public spending on basic education (% of public spending on total education)
250,4.3_TOTAL.EDU.RECURRENT,Public recurrent spending on total education (% of total public recurrent spending)
251,4.4_BASIC.EDU.RECURRENT,Public recurrent spending on basic education (% of public recurrent spending on total education)
252,5.0.AMeanIncGr.All,Annualized Mean Income Growth (2004-2014)
253,5.0.AMeanIncGr.B40,Annualized Mean Income Growth Bottom 40 Percent (2004-2014)
254,5.1.1_AFG.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Afghanistan (USD million)"
255,5.1.1_ALB.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Albania (USD million)"
256,5.1.1_BFA.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Burkina Faso (USD million)"
257,5.1.1_CAF.TOT.AID.GPE," International aid disbursed to total education, Global Partnership for Education to Central African Republic (USD million)  "
258,5.1.1_CIV.TOTA.AID.AFDB," International aid disbursed to total education, AfDB to Côte d'Ivoire (USD million) "
259,5.1.1_CMR.TOTA.AID.BAD,"International aid disbursed to total education, AfDB to Cameroun (USD million) "
260,5.1.1_DJI.TOTA.AID.WB,"International aid disbursed to total education, World Bank (IDA) to Djibouti (USD million)"
261,5.1.1_ETH.TOTA.AID.ADB,"International aid disbursed to total education, ADB to Ethiopia (USD million)"
262,5.1.1_GEO.TOTA.AID.EC,"International aid disbursed to total education, European Commission to Georgia (USD million)"
263,5.1.1_GHA.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Djibouti (USD million) "
264,5.1.1_GIN.TOTA.AID.ADPP.AFD,"International aid disbursed to total education, AFD to Guinea (USD million) "
265,5.1.1_GNB.TOTA.AID.ADPP.EU,"International aid disbursed to total education, ADPP (European Union) to Guinea Bissau (USD million) "
266,5.1.1_KGZ.TOTA.AID.ADPP.EU," International aid disbursed to total education, European Commission to Kyrgyzstan (USD million)  "
267,5.1.1_KHM.TOTA.AID.BAD," International aid disbursed to total education, AfDB to Cambodia (USD million)  "
268,5.1.1_LAO.TOTA.AID.ADB," International aid disbursed to total education, ADB to Laos (USD million)  "
269,5.1.1_LBR.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Liberia (USD million)  "
270,5.1.1_MDA.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Moldova (USD million)  "
271,5.1.1_MDG.TOTA.AID.WB, International aid to total education executed by World Bank (including GPE funds) in Madagascar (USD million)  
272,5.1.1_MOZ.TOTA.AID.CAN," International aid disbursed to total education, Canada to Mozambique (USD million) "
273,5.1.1_MRT.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Mauritania (USD million) "
274,5.1.1_MWI.TOTA.AID.AFDB,"International aid disbursed to total education, AfDB to Malawi (USD million) "
275,5.1.1_NER.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Niger (USD million) "
276,5.1.1_RWA.TOTA.AID.DFID," International aid disbursed to total education, DFID to Rwanda (USD million)  "
277,5.1.1_SEN.TOTA.AID.CIDA," International aid disbursed to total education, CIDA to Senegal (USD million)  "
278,5.1.1_SLE.TOTA.AID.DFID," International aid disbursed to total education, DFID to Sierra Leone (USD million)  "
279,5.1.1_VNM.TOTA.AID.BEL,"International aid disbursed to total education, Belgium to Vietnam (USD million) "
280,5.1.1_ZMB.TOTA.AID.DNK,"International aid disbursed to total education, Denmark to Zambia (USD million)"
281,5.1.10_AFG.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Afghanistan (USD million)"
282,5.1.10_ETH.TOTA.AID.JPN,"International aid disbursed to total education, Japan Government to Ethiopia (USD million) "
283,5.1.10_KHM.TOTA.AID.WFP," International aid disbursed to total education, WFP to Cambodia (USD million)  "
284,5.1.10_LAO.TOTA.AID.WB," International aid disbursed to total education, World Bank to Laos (USD million)  "
285,5.1.10_MDG.TOTA.AID.EC, International aid to total education executed by the European Commission in Madagascar (USD million)  
286,5.1.10_MOZ.TOTA.AID.JPN," International aid disbursed to total education, Japan to Mozambique (USD million) "
287,5.1.10_MWI.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Malawi (USD million) "
288,5.1.10_NER.TOTA.AID.UNICEF,"International aid disbursed to total  education, UNICEF to Niger (USD million) "
289,5.1.10_TJK.TOTA.AID.WB," International aid disbursed to total education, World Bank to Tajikistan (USD million)  "
290,5.1.11_AFG.TOTA.AID.UNESCO,"International aid disbursed to total education, UNESCO to Afghanistan (USD million)"
291,5.1.11_ETH.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Ethiopia (USD million) "
292,5.1.11_KHM.TOTA.AID.WB," International aid disbursed to total education, World Bank to Cambodia (USD million) "
293,5.1.11_LAO.TOTA.AID.INGOS," International aid disbursed to total education, International NGOs to Laos (USD million)  "
294,5.1.11_MOZ.TOTA.AID.NLD," International aid disbursed to total education, Netherlands to Mozambique (USD million) "
295,5.1.11_MWI.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Malawi (USD million) "
296,5.1.12_AFG.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Afghanistan (USD million)"
297,5.1.12_ETH.TOTA.AID.KFW,"International aid disbursed to total education, KfW to Ethiopia (USD million) "
298,5.1.12_MOZ.TOTA.AID.PRT," International aid disbursed to total education, Portugal to Mozambique (USD million) "
299,5.1.13_AFG.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Afghanistan (USD million)"
300,5.1.13_ETH.TOTA.AID.NLD,"International aid disbursed to total education, Netherlands to Ethiopia (USD million) "
301,5.1.13_MOZ.TOTA.AID.ESP," International aid disbursed to total education, Spain to Mozambique (USD million) "
302,5.1.14_ETH.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Ethiopia (USD million) "
303,5.1.14_MOZ.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Mozambique (USD million) "
304,5.1.15_ETH.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Ethiopia (USD million) "
305,5.1.15_MOZ.TOTA.AID.USAID," International aid disbursed to total education, USAID to Mozambique (USD million) "
306,5.1.16_ETH.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Ethiopia (USD million) "
307,5.1.16_MOZ.TOTA.AID.WB," International aid disbursed to total education, World Bank to Mozambique (USD million) "
308,5.1.17_ETH.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Ethiopia (USD million) "
309,5.1.18_ETH.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Ethiopia (USD million) "
310,5.1.2_AFG.TOTA.AID.DANIDA,"International aid disbursed to total education, DANIDA to Afghanistan (USD million)"
311,5.1.2_ALB.TOTA.AID.BEI,"International aid disbursed to total education, BEI to Albania (USD million)"
312,5.1.2_BFA.TOTA.AID.AFD," International aid disbursed to total education, AFD to Burkina Faso (USD million)  "
313,5.1.2_CIV.TOTA.AID.BADEA," International aid disbursed to total education, BADEA to Côte d'Ivoire (USD million)  "
314,5.1.2_CMR.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Cameroun (USD million) "
315,5.1.2_DJI.TOTA.AID.FSD,"International aid disbursed to total education, FSD to Djibouti (USD million) "
316,5.1.2_ETH.TOTA.AID.BEL,"International aid disbursed to total education, Belgium (VLIR USO) to Ethiopia (USD million)"
317,5.1.2_GEO.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Georgia (USD million)"
318,5.1.2_GHA.TOTA.AID.GPE,"International aid disbursed to total education, Global Partnership for Education to Djibouti (USD million)  "
319,5.1.2_GIN.TOTA.AID.ADPP.AFDB,"International aid disbursed to total education, AfDB to Guinea (USD million) "
320,5.1.2_GNB.TOTA.AID.ADPP.HUM,"International aid disbursed to total education, ADPP (Humana People to People) to Guinea Bissau (USD million) "
321,5.1.2_KGZ.TOTA.AID.ADPP.GIZ," International aid disbursed to total education, GIZ to Kyrgyzstan (USD million)  "
322,5.1.2_KHM.TOTA.AID.BEL," International aid disbursed to total education, Belgium to Cambodia (USD million)   "
323,5.1.2_LAO.TOTA.AID.AUS," International aid disbursed to total education, AusAID to Laos (USD million)  "
324,5.1.2_LBR.TOTA.AID.USAID," International aid disbursed to total education, USAID to Liberia (USD million)  "
325,5.1.2_MDA.TOTA.AID.WB," International aid disbursed to total education, World Bank to Moldova (USD million)  "
326,5.1.2_MDG.TOTA.AID.ILO, International aid to total education executed by ILO in Madagascar (USD million)  
327,5.1.2_MOZ.TOTA.AID.DANIDA," International aid disbursed to total education, DANIDA to Mozambique (USD million) "
328,5.1.2_MRT.TOTA.AID.ISDB,"International aid disbursed to total education, IsDB to Mauritania (USD million) "
329,5.1.2_MWI.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Malawi (USD million) "
330,5.1.2_NER.TOTA.AID.BEL,"International aid disbursed to total  education, Belgium to Niger (USD million) "
331,5.1.2_RWA.TOTA.AID.GPE," International aid disbursed to total education, Global Partnership for Education to Rwanda (USD million)  "
332,5.1.2_SEN.TOTA.AID.FR," International aid disbursed to total education, AFD and French Embassy to Senegal (USD million)  "
333,5.1.2_SLE.TOTA.AID.EC," International aid disbursed to total education, European Commission to Sierra Leone (USD million)  "
334,5.1.2_TJK.TOTA.AID.AGAK," International aid disbursed to total education, Aga Khan to Tajikistan (USD million) "
335,5.1.2_VNM.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Vietnam (USD million)"
336,5.1.2_ZMB.TOTA.AID.IRL,"International aid disbursed to total education, Ireland to Zambia (USD million) "
337,5.1.3_AFG.TOTA.AID.FRA,"International aid disbursed to total education, France to Afghanistan (USD million)"
338,5.1.3_ALB.TOTA.AID.CEIB,"International aid disbursed to total education, CEIB to Albania (USD million)"
339,5.1.3_BFA.TOTA.AID.CHE," International aid disbursed to total education, Switzerland to Burkina Faso (USD million)  "
340,5.1.3_CIV.TOTA.AID.WB," International aid disbursed to total education, World Bank to Côte d'Ivoire (USD million)   "
341,5.1.3_CMR.TOTA.AID.FR,"International aid disbursed to total education, AFD and French Embassy to Cameroun (USD million) "
342,5.1.3_DJI.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Djibouti (USD million) "
343,5.1.3_ETH.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Ethiopia (USD million) "
344,5.1.3_GEO.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Georgia (USD million)"
345,5.1.3_GHA.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Djibouti (USD million) "
346,5.1.3_GIN.TOTA.AID.ADPP.WB,"International aid disbursed to total education, World Bank to Guinea (USD million) "
347,5.1.3_GNB.TOTA.AID.ADPP.OTH,"International aid disbursed to total education, ADPP (other donors) to Guinea Bissau (USD million) "
348,5.1.3_KGZ.TOTA.AID.ADPP.UNICEF," International aid disbursed to total education, UNICEF to Kyrgyzstan (USD million)  "
349,5.1.3_KHM.TOTA.AID.GPE," International aid disbursed to total education, Global Partnership for Education to Cambodia (USD million)  "
350,5.1.3_LAO.TOTA.AID.EC," International aid disbursed to total education, European Commission to Laos (USD million)  "
351,5.1.3_LBR.TOTA.AID.WB," International aid disbursed to total education, World Bank to Liberia (USD million)  "
352,5.1.3_MDG.TOTA.AID.FR, International aid to total education executed by AFD and French Embassy in Madagascar (USD million)  
353,5.1.3_MOZ.TOTA.AID.DFID," International aid disbursed to total education, DFID to Mozambique (USD million) "
354,5.1.3_MRT.TOTA.AID.SP,"International aid disbursed to total education, Spanish Cooperation to Mauritania (USD million)"
