,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
54,S3,Caribbean small states,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
55,S3,Caribbean small states,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
56,S3,Caribbean small states,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
57,S3,Caribbean small states,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
58,S3,Caribbean small states,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
59,S3,Caribbean small states,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,Aggregates,,
60,S3,Caribbean small states,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,Aggregates,,
61,S3,Caribbean small states,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,Aggregates,,
62,S3,Caribbean small states,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,Aggregates,,
63,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2024,,Aggregates,Aggregates,Aggregates,,
64,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2023,,Aggregates,Aggregates,Aggregates,,
65,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2022,,Aggregates,Aggregates,Aggregates,,
66,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2021,109.129045044123,Aggregates,Aggregates,Aggregates,,
67,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2020,111.600729388143,Aggregates,Aggregates,Aggregates,,
68,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2019,106.436957613453,Aggregates,Aggregates,Aggregates,,
69,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2018,104.593014821527,Aggregates,Aggregates,Aggregates,,
70,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2017,102.877295759944,Aggregates,Aggregates,Aggregates,,
71,S3,Caribbean small states,Mobile cellular subscriptions (per 100 people),2016,101.901814316053,Aggregates,Aggregates,Aggregates,,
72,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
73,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
74,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
75,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
76,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
77,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,Aggregates,,
78,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,Aggregates,,
79,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,Aggregates,,
80,B8,Central Europe and the Baltics,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,Aggregates,,
81,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2024,,Aggregates,Aggregates,Aggregates,,
82,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2023,,Aggregates,Aggregates,Aggregates,,
83,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2022,124.683360007648,Aggregates,Aggregates,Aggregates,,
84,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2021,124.396200399213,Aggregates,Aggregates,Aggregates,,
85,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2020,121.617426753818,Aggregates,Aggregates,Aggregates,,
86,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2019,120.788794710806,Aggregates,Aggregates,Aggregates,,
87,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2018,119.829218463391,Aggregates,Aggregates,Aggregates,,
88,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2017,122.132128080483,Aggregates,Aggregates,Aggregates,,
89,B8,Central Europe and the Baltics,Mobile cellular subscriptions (per 100 people),2016,124.997371413113,Aggregates,Aggregates,Aggregates,,
90,V2,Early-demographic dividend,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
91,V2,Early-demographic dividend,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
92,V2,Early-demographic dividend,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
93,V2,Early-demographic dividend,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
94,V2,Early-demographic dividend,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
95,V2,Early-demographic dividend,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,Aggregates,,
96,V2,Early-demographic dividend,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,Aggregates,,
97,V2,Early-demographic dividend,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,Aggregates,,
98,V2,Early-demographic dividend,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,Aggregates,,
99,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2024,,Aggregates,Aggregates,Aggregates,,
100,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2023,,Aggregates,Aggregates,Aggregates,,
101,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2022,96.3653995383414,Aggregates,Aggregates,Aggregates,,
102,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2021,97.8329155295442,Aggregates,Aggregates,Aggregates,,
103,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2020,95.6621086286102,Aggregates,Aggregates,Aggregates,,
104,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2019,95.9977673901306,Aggregates,Aggregates,Aggregates,,
105,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2018,95.6077352113338,Aggregates,Aggregates,Aggregates,,
106,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2017,96.3611769859029,Aggregates,Aggregates,Aggregates,,
107,V2,Early-demographic dividend,Mobile cellular subscriptions (per 100 people),2016,93.9590434686905,Aggregates,Aggregates,Aggregates,,
108,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2024,86.6,Aggregates,Aggregates,Aggregates,,
109,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2023,84.9,Aggregates,Aggregates,Aggregates,,
110,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2022,82.4,Aggregates,Aggregates,Aggregates,,
111,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2021,78.8,Aggregates,Aggregates,Aggregates,,
112,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2020,73.9,Aggregates,Aggregates,Aggregates,,
113,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2019,67.1,Aggregates,Aggregates,Aggregates,,
114,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2018,62.5,Aggregates,Aggregates,Aggregates,,
115,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2017,57.8,Aggregates,Aggregates,Aggregates,,
116,Z4,East Asia & Pacific,Individuals using the Internet (% of population),2016,53.9,Aggregates,Aggregates,Aggregates,,
117,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2024,132.9,Aggregates,Aggregates,Aggregates,,
118,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2023,130.9,Aggregates,Aggregates,Aggregates,,
119,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2022,128.7,Aggregates,Aggregates,Aggregates,,
120,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2021,127.6,Aggregates,Aggregates,Aggregates,,
121,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2020,126.1,Aggregates,Aggregates,Aggregates,,
122,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2019,128.1,Aggregates,Aggregates,Aggregates,,
123,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2018,120.7,Aggregates,Aggregates,Aggregates,,
124,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2017,115.9,Aggregates,Aggregates,Aggregates,,
125,Z4,East Asia & Pacific,Mobile cellular subscriptions (per 100 people),2016,109.8,Aggregates,Aggregates,Aggregates,,
126,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2024,86.1,Aggregates,Aggregates,Aggregates,,
127,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2023,84.2,Aggregates,Aggregates,Aggregates,,
128,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2022,81.6,Aggregates,Aggregates,Aggregates,,
129,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2021,77.6,Aggregates,Aggregates,Aggregates,,
130,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2020,72.2,Aggregates,Aggregates,Aggregates,,
131,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2019,64.0,Aggregates,Aggregates,Aggregates,,
132,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2018,59.1,Aggregates,Aggregates,Aggregates,,
133,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2017,53.9,Aggregates,Aggregates,Aggregates,,
134,4E,East Asia & Pacific (excluding high income),Individuals using the Internet (% of population),2016,49.6,Aggregates,Aggregates,Aggregates,,
135,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2024,128.2,Aggregates,Aggregates,Aggregates,,
136,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2023,126.9,Aggregates,Aggregates,Aggregates,,
137,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2022,125.5,Aggregates,Aggregates,Aggregates,,
138,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2021,124.9,Aggregates,Aggregates,Aggregates,,
139,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2020,123.8,Aggregates,Aggregates,Aggregates,,
140,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2019,126.854387586962,Aggregates,Aggregates,Aggregates,,
141,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2018,120.388492509008,Aggregates,Aggregates,Aggregates,,
142,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2017,114.29740003326,Aggregates,Aggregates,Aggregates,,
143,4E,East Asia & Pacific (excluding high income),Mobile cellular subscriptions (per 100 people),2016,107.879616292969,Aggregates,Aggregates,Aggregates,,
144,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2024,86.8,Aggregates,Aggregates,Aggregates,,
145,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2023,85.0,Aggregates,Aggregates,Aggregates,,
146,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2022,82.3,Aggregates,Aggregates,Aggregates,,
147,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2021,78.3,Aggregates,Aggregates,Aggregates,,
148,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2020,72.7,Aggregates,Aggregates,Aggregates,,
149,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2019,64.3,Aggregates,Aggregates,Aggregates,,
150,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2018,59.8,Aggregates,Aggregates,Aggregates,,
151,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2017,54.6,Aggregates,Aggregates,Aggregates,,
152,T4,East Asia & Pacific (IDA & IBRD countries),Individuals using the Internet (% of population),2016,50.2,Aggregates,Aggregates,Aggregates,,
153,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2024,129.5,Aggregates,Aggregates,Aggregates,,
154,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2023,128.1,Aggregates,Aggregates,Aggregates,,
155,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2022,126.8,Aggregates,Aggregates,Aggregates,,
156,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2021,126.2,Aggregates,Aggregates,Aggregates,,
157,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2020,125.0,Aggregates,Aggregates,Aggregates,,
158,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2019,127.8,Aggregates,Aggregates,Aggregates,,
159,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2018,119.9,Aggregates,Aggregates,Aggregates,,
160,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2017,115.1,Aggregates,Aggregates,Aggregates,,
161,T4,East Asia & Pacific (IDA & IBRD countries),Mobile cellular subscriptions (per 100 people),2016,108.6,Aggregates,Aggregates,Aggregates,,
162,XC,Euro area,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
163,XC,Euro area,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
