,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
56,S3,Caribbean small states,GDP growth (annual %),2022,14.8851030062619,Aggregates,Aggregates,Aggregates,,
57,S3,Caribbean small states,GDP growth (annual %),2021,6.53181248270917,Aggregates,Aggregates,Aggregates,,
58,S3,Caribbean small states,GDP growth (annual %),2020,-9.0291630332097,Aggregates,Aggregates,Aggregates,,
59,S3,Caribbean small states,GDP growth (annual %),2019,0.875117819991502,Aggregates,Aggregates,Aggregates,,
60,S3,Caribbean small states,GDP growth (annual %),2018,1.21087866602529,Aggregates,Aggregates,Aggregates,,
61,S3,Caribbean small states,GDP growth (annual %),2017,-0.745458058997372,Aggregates,Aggregates,Aggregates,,
62,S3,Caribbean small states,GDP growth (annual %),2016,-3.08019901728429,Aggregates,Aggregates,Aggregates,,
63,S3,Caribbean small states,GDP per capita (current US$),2024,19903.8112311908,Aggregates,Aggregates,Aggregates,,
64,S3,Caribbean small states,GDP per capita (current US$),2023,17596.5404249612,Aggregates,Aggregates,Aggregates,,
65,S3,Caribbean small states,GDP per capita (current US$),2022,17456.3084845676,Aggregates,Aggregates,Aggregates,,
66,S3,Caribbean small states,GDP per capita (current US$),2021,13995.2694921728,Aggregates,Aggregates,Aggregates,,
67,S3,Caribbean small states,GDP per capita (current US$),2020,11957.223222537,Aggregates,Aggregates,Aggregates,,
68,S3,Caribbean small states,GDP per capita (current US$),2019,13995.8548364074,Aggregates,Aggregates,Aggregates,,
69,S3,Caribbean small states,GDP per capita (current US$),2018,13896.7409040963,Aggregates,Aggregates,Aggregates,,
70,S3,Caribbean small states,GDP per capita (current US$),2017,13671.1377634132,Aggregates,Aggregates,Aggregates,,
71,S3,Caribbean small states,GDP per capita (current US$),2016,13376.8057759012,Aggregates,Aggregates,Aggregates,,
72,B8,Central Europe and the Baltics,GDP growth (annual %),2024,2.0701601704917,Aggregates,Aggregates,Aggregates,,
73,B8,Central Europe and the Baltics,GDP growth (annual %),2023,0.70736329484285,Aggregates,Aggregates,Aggregates,,
74,B8,Central Europe and the Baltics,GDP growth (annual %),2022,4.04227221314891,Aggregates,Aggregates,Aggregates,,
75,B8,Central Europe and the Baltics,GDP growth (annual %),2021,6.57225386036488,Aggregates,Aggregates,Aggregates,,
76,B8,Central Europe and the Baltics,GDP growth (annual %),2020,-3.30111999071748,Aggregates,Aggregates,Aggregates,,
77,B8,Central Europe and the Baltics,GDP growth (annual %),2019,4.03229063844108,Aggregates,Aggregates,Aggregates,,
78,B8,Central Europe and the Baltics,GDP growth (annual %),2018,4.95337799401428,Aggregates,Aggregates,Aggregates,,
79,B8,Central Europe and the Baltics,GDP growth (annual %),2017,5.1071317914476,Aggregates,Aggregates,Aggregates,,
80,B8,Central Europe and the Baltics,GDP growth (annual %),2016,2.80726176295552,Aggregates,Aggregates,Aggregates,,
81,B8,Central Europe and the Baltics,GDP per capita (current US$),2024,24604.8068595604,Aggregates,Aggregates,Aggregates,,
82,B8,Central Europe and the Baltics,GDP per capita (current US$),2023,22690.3736174216,Aggregates,Aggregates,Aggregates,,
83,B8,Central Europe and the Baltics,GDP per capita (current US$),2022,19530.1553232172,Aggregates,Aggregates,Aggregates,,
84,B8,Central Europe and the Baltics,GDP per capita (current US$),2021,19223.9274030651,Aggregates,Aggregates,Aggregates,,
85,B8,Central Europe and the Baltics,GDP per capita (current US$),2020,16581.3526115028,Aggregates,Aggregates,Aggregates,,
86,B8,Central Europe and the Baltics,GDP per capita (current US$),2019,16534.9264870407,Aggregates,Aggregates,Aggregates,,
87,B8,Central Europe and the Baltics,GDP per capita (current US$),2018,16227.2484719489,Aggregates,Aggregates,Aggregates,,
88,B8,Central Europe and the Baltics,GDP per capita (current US$),2017,14339.8243059389,Aggregates,Aggregates,Aggregates,,
89,B8,Central Europe and the Baltics,GDP per capita (current US$),2016,12874.699956166,Aggregates,Aggregates,Aggregates,,
90,V2,Early-demographic dividend,GDP growth (annual %),2024,3.66894359356225,Aggregates,Aggregates,Aggregates,,
